SessionID: 894b949f-79d2-4c4a-a4f0-ec795946aec2 | Frequency: 5.35 | Timestamp: 1730895175
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 9.11 | Timestamp: 1730897823
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -7.70 | Timestamp: 1730897824
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -4.57 | Timestamp: 1730897825
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 0.32 | Timestamp: 1730897826
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 0.41 | Timestamp: 1730897827
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 0.86 | Timestamp: 1730897828
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -4.21 | Timestamp: 1730897829
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 2.07 | Timestamp: 1730897830
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 6.55 | Timestamp: 1730897831
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 9.86 | Timestamp: 1730897832
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 4.00 | Timestamp: 1730897833
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -8.30 | Timestamp: 1730897834
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 5.67 | Timestamp: 1730897835
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 5.85 | Timestamp: 1730897836
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -3.11 | Timestamp: 1730897837
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 6.70 | Timestamp: 1730897838
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -6.40 | Timestamp: 1730897839
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 5.70 | Timestamp: 1730897840
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -9.33 | Timestamp: 1730897841
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 2.43 | Timestamp: 1730897842
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 2.05 | Timestamp: 1730897843
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 9.49 | Timestamp: 1730897844
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -7.93 | Timestamp: 1730897845
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 5.63 | Timestamp: 1730897846
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 7.46 | Timestamp: 1730897847
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -10.11 | Timestamp: 1730897848
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -1.85 | Timestamp: 1730897849
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 2.39 | Timestamp: 1730897850
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -3.27 | Timestamp: 1730897851
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -6.56 | Timestamp: 1730897852
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -7.90 | Timestamp: 1730897853
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -1.15 | Timestamp: 1730897854
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -2.45 | Timestamp: 1730897855
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 1.63 | Timestamp: 1730897856
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 2.42 | Timestamp: 1730897857
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -4.09 | Timestamp: 1730897858
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -6.09 | Timestamp: 1730897859
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -0.29 | Timestamp: 1730897860
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -8.35 | Timestamp: 1730897861
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 5.56 | Timestamp: 1730897862
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -1.18 | Timestamp: 1730897863
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -1.86 | Timestamp: 1730897864
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -10.23 | Timestamp: 1730897865
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -5.40 | Timestamp: 1730897866
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -7.32 | Timestamp: 1730897867
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -2.49 | Timestamp: 1730897868
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 4.96 | Timestamp: 1730897869
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 9.02 | Timestamp: 1730897870
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 6.20 | Timestamp: 1730897871
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -3.96 | Timestamp: 1730897872
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -2.61 | Timestamp: 1730897873
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -3.93 | Timestamp: 1730897874
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -7.89 | Timestamp: 1730897875
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 1.32 | Timestamp: 1730897876
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -5.46 | Timestamp: 1730897877
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -4.96 | Timestamp: 1730897878
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -5.41 | Timestamp: 1730897879
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -3.95 | Timestamp: 1730897880
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 1.78 | Timestamp: 1730897881
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -5.19 | Timestamp: 1730897882
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -1.50 | Timestamp: 1730897883
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 1.70 | Timestamp: 1730897884
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -8.92 | Timestamp: 1730897885
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: 6.80 | Timestamp: 1730897886
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -6.88 | Timestamp: 1730897887
SessionID: 8a4022b5-60ab-4196-94c7-f7d08db74d07 | Frequency: -8.95 | Timestamp: 1730897888
SessionID: ccef8ec3-9285-40a4-a412-fac8a2360867 | Frequency: 8.10 | Timestamp: 1730897916
SessionID: ccef8ec3-9285-40a4-a412-fac8a2360867 | Frequency: 7.34 | Timestamp: 1730897917
SessionID: ccef8ec3-9285-40a4-a412-fac8a2360867 | Frequency: -6.88 | Timestamp: 1730897918
SessionID: ccef8ec3-9285-40a4-a412-fac8a2360867 | Frequency: -8.27 | Timestamp: 1730897919
SessionID: ccef8ec3-9285-40a4-a412-fac8a2360867 | Frequency: 6.51 | Timestamp: 1730897920
SessionID: ccef8ec3-9285-40a4-a412-fac8a2360867 | Frequency: -4.89 | Timestamp: 1730897921
SessionID: ccef8ec3-9285-40a4-a412-fac8a2360867 | Frequency: -0.41 | Timestamp: 1730897922
SessionID: ccef8ec3-9285-40a4-a412-fac8a2360867 | Frequency: -4.35 | Timestamp: 1730897923
SessionID: ccef8ec3-9285-40a4-a412-fac8a2360867 | Frequency: -5.98 | Timestamp: 1730897924
SessionID: ccef8ec3-9285-40a4-a412-fac8a2360867 | Frequency: -1.37 | Timestamp: 1730897925
Session ccef8ec3-9285-40a4-a412-fac8a2360867 ended
